budget_FLOPs,context_tokens,quality_family,Q0_scenario,context_role,ready_for_Q3,feasible,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,cost_FLOPs,budget_utilization,active_support,kkt_relative_violation,kkt_check_pass,solver,restricted_axis,restricted_upper,loss_penalty
1e+19,2048,exponential,0.5,C7_candidate,False,True,0.14054089686725396,10.000000000000002,0.5668909154888435,3.262942081109358,1.000000000000451e+19,1.000000000000451,D_min;budget,1.5545952040252874e-10,True,SLSQP,N_params_B,6.9,4.440892098500626e-14
1e+22,2048,exponential,0.5,C7_candidate,False,True,6.271047510703276,227.12644395601376,1.0,2.1496697720432025,1.0000000000018631e+22,1.0000000000018632,Q1;budget,1.2831040324518099e-09,True,SLSQP,N_params_B,6.9,2.930988785010413e-14
1e+24,2048,exponential,0.5,C7_candidate,False,True,6.9,600.0,0.9999999999999994,2.0840462444571677,2.8835803539417273e+22,0.028835803539417275,D_max;N_max;Q1,0.0,True,SLSQP,N_params_B,6.9,0.03165418466445802
1e+19,2048,power,0.5,C7_candidate,False,True,0.15601597603640904,10.000000000000002,0.5,3.2706094391066136,1.0000000000029676e+19,1.0000000000029676,D_min;Q0;budget,0.0,True,SLSQP,N_params_B,6.9,-1.5631940186722204e-13
1e+22,2048,power,0.5,C7_candidate,False,True,6.384209735236575,219.26107355929082,1.0,2.15103590904409,1.0000000000044925e+22,1.0000000000044926,Q1;budget,1.506460811379726e-10,True,SLSQP,N_params_B,6.9,-2.8554936193359026e-13
1e+24,2048,power,0.5,C7_candidate,False,True,6.9,600.0,0.9999999999999994,2.0840462444571677,2.934824399999999e+22,0.029348243999999992,D_max;N_max;Q1,0.0,True,SLSQP,N_params_B,6.9,0.03165418466445802
1e+19,2048,logarithmic,0.5,C7_candidate,False,True,0.15601597603604656,10.000000000000002,0.5000000000000078,3.2706094391072082,1.0000000000006703e+19,1.0000000000006704,D_min;Q0;budget,0.0,True,SLSQP,N_params_B,6.9,6.306066779870889e-14
1e+22,2048,logarithmic,0.5,C7_candidate,False,True,5.898006415852871,256.30422841120173,1.0,2.145252371433158,1.000000000004407e+22,1.000000000004407,Q1;budget,1.5217715361175473e-11,True,SLSQP,N_params_B,6.9,-2.948752353404416e-13
1e+24,2048,logarithmic,0.5,C7_candidate,False,True,6.9,600.0,0.9999999999999994,2.0840462444571677,2.7263106964284376e+22,0.027263106964284377,D_max;N_max;Q1,0.0,True,SLSQP,N_params_B,6.9,0.03165418466445802
1e+19,8192,exponential,0.5,C7_candidate,False,True,0.11890634293112491,10.000000000000002,0.5627042263244226,3.3100841637164646,1.0000000000004684e+19,1.0000000000004683,D_min;budget,2.42111039634082e-10,True,SLSQP,N_params_B,6.9,5.3734794391857577e-14
