_source_domain,_id,_line,fineweb_edu,fluency_en,modernbert_cleanliness,modernbert_readability,modernbert_reasoning,modernbert_professionalism,dsir_books,dsir_wiki,dsir_math,qurater,ad_en,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
arxiv,BkiUaGo25V5hYDkHE-XL,371,1.165254598119791,0.6026007286193311,0.702174414654965,0.5500380393343064,5.0,1.179493998706744,2.6339735001942626,2.5998435303318037,2.1378355950917634,2.5625294953322206,0.6879407857146311,1.6973909432234255,1.4655158426128965,1.449159237663966,1.3140737534780957,-1.4633727828278933,0.9648247602639892,-0.5377091167906782,-0.48830577025756533,-0.9509598625854555,0.6618802560406266,-0.28932199555361887
arxiv,BkiUbeHxK03BfL1dT21z,429,0.11814378529605937,0.6435316913831669,0.7036628176511263,0.8450665976216137,5.0,1.1794491593156733,1.8812416528773703,1.8223405869853206,1.5952930399453462,2.4265250385270685,0.6768366746689044,1.7194024171943374,1.5996368688099636,1.040811033851068,1.6293657711329377,0.13483956685087567,0.27147519528481473,0.07333873589183987,-0.6767004293567609,-1.0063583797518432,0.4523716797502249,-0.47218667002575887
arxiv,BkiUdX3xK6wB9k0iLt8X,1004,-0.1448985077850405,-2.3097061031904134,-1.4815693936706462,-2.5522157221313777,-1.7699766747988306,0.8522870312355578,-0.5988286274330102,-0.6266127482039066,-0.772093976867202,-0.9661433516273199,0.36512202921641346,-1.8775238589448975,-0.4244201708880482,-2.2174912270740674,-1.0678164400971604,-4.909672395969193,-0.9678500591399981,1.6960968863904275,-0.3337452341137448,-1.0729556254707153,3.2148586224770908,-5.0
arxiv,BkiUfNw25V5jPC6s0xZV,1066,-1.6396867834021953,-0.408224842009049,0.0184021865818258,0.44557447202025796,-1.5833755192632866,-0.52300297828012,-1.1723732329121987,-1.2102411058766662,-1.2136192744446086,0.7972457771284344,0.6593605044790556,-1.2908523622522743,-0.24066020122055964,-1.0305934146364424,-2.14871561883695,-0.07593280128313233,-2.2387870785435355,-0.7424425761612679,-0.044138378307384075,-0.2806191635846486,-0.7267871233135496,-1.0145568381765089
book,BkiUcKHxK6EuNCwyuQ3X,1469,2.4447637895991896,-2.016733143367893,0.6940018961543936,0.9340431160540775,5.0,0.6933324460886492,5.0,5.0,5.0,-0.292193903421591,-0.10476392826851966,5.0,5.0,3.1311208574800413,3.307661186431399,0.09933615395056965,0.8127076613365863,-0.7031749128861442,1.9460998759232808,0.7962024868196697,4.9221451944868955,0.2650096184891269
book,BkiUfBvxK4tBVicoEgK5,1492,1.914563559918462,-0.5169190614419964,-0.3775949342685241,0.5574773134979955,-0.3909008139050942,-0.499701819325018,1.6032738611092268,1.584341420068299,1.6459471020715009,0.20890808960564994,0.6460770581857713,1.4851012108490216,1.824350767997853,1.431035433023299,0.34690334312174037,-2.2225372406310338,0.6619292913250212,-0.3636650842726106,0.6453875104240782,-0.9277300216869531,2.123836118941781,0.24881946235038602
book,BkiUasXxK1ThhCdy6D8f,1420,-0.8959477597621647,-3.711284168858587,-1.4059377665201542,0.16404688705936268,-1.492891123275265,-0.925985038251455,-0.7145387837327724,-0.7400325295672258,-0.7128658682703275,-0.6710673885877964,-0.4105482800075191,-0.532954513265389,0.570253265383522,-0.035198068897535496,-1.9114749324808646,-2.229428456286639,-0.10251525153417701,1.5018284036686738,0.12766912766976152,-0.6377708263287469,4.60391122804247,1.0659451507859243
c4,BkiUdzc5ixsDMFcyQVBV,5069,0.2585897946923994,-3.7538592155878017,-0.02078205636285269,-1.4402400601785457,-0.009346832662195898,-0.5542059706910868,0.5578049053921224,0.6366752560441963,0.6309825989177528,0.5634669720230612,-5.0,1.0646644980027442,0.8520834859360552,0.8350866087941429,0.9398713185686581,0.6380549203224772,0.7371262225269499,-0.11573526831853109,-0.8480399825818911,1.4030958179232431,-0.5173447567133845,0.6623987671383595
c4,BkiUd4U4eIXh1x7bjxGE,5463,0.19863939800412692,0.6709647003424712,0.7036619279347819,0.22876767904901346,5.0,0.9942218455124414,0.17705856022127497,0.2349352303699747,0.21997303867057477,2.852672336516545,0.1275284821223482,0.6585817178375032,0.2545974312918838,0.7079780666848967,0.3418231033040941,0.99127215482119,0.8021819318243507,-0.4543043489674951,-0.9118841374474083,1.4030958179232431,-0.7267871233135496,0.11509461745765305
c4,BkiUc0HxaKgTvXx06dgF,6377,-2.0888053917715514,0.6576795260211442,0.4756873902332436,0.9240358688454294,-1.166128715498185,-0.9310074476989865,-1.342052063859318,-1.3590472491269436,-1.3374765944196525,-0.7339208164256873,-5.0,-0.9017459846774137,-1.1086899891892847,-0.7760272203532241,-1.2648027390263745,0.6466408976703597,-0.1999828801334032,0.8383221566540618,-0.7767623498387694,1.4030958179232431,-0.7267871233135496,0.8842378012429603
